symbol,date,price
ind_petrol,July 2014,73.6
ind_diesel,July 2014,57.84
brent_crude,July 2014,44.555
ind_petrol,October 2014,67.86
ind_diesel,October 2014,58.97
brent_crude,October 2014,36.575
ind_petrol,January 2015,58.91
ind_diesel,January 2015,48.26
brent_crude,January 2015,19.95
ind_petrol,April 2015,60
ind_diesel,April 2015,48.5
brent_crude,April 2015,24.605
ind_petrol,July 2015,66.62
ind_diesel,July 2015,50.22
brent_crude,July 2015,23.94
ind_petrol,October 2015,61.2
ind_diesel,October 2015,44.95
brent_crude,October 2015,19.95
ind_petrol,January 2016,59.35
ind_diesel,January 2016,45.03
brent_crude,January 2016,12.635
ind_petrol,April 2016,59.68
ind_diesel,April 2016,48.33
brent_crude,April 2016,17.29
ind_petrol,July 2016,64.76
ind_diesel,July 2016,54.7
brent_crude,July 2016,18.62
ind_petrol,September 2016,63.47
ind_diesel,September 2016,52.94
brent_crude,September 2016,19.285
