quarter,world_prod,world_consum
Q1 2011,88.36652,88.75245
Q2 2011,87.5804,87.80573
Q3 2011,88.64534,89.87343
Q4 2011,89.54866,90.18048
Q1 2012,90.48218,89.12972
Q2 2012,90.31211,89.77539
Q3 2012,90.33497,91.15683
Q4 2012,90.79321,91.66907
Q1 2013,89.77745,90.29924
Q2 2013,90.92736,90.73726
Q3 2013,91.52535,91.95252
Q4 2013,91.54152,92.41873
Q1 2014,91.92596,91.46626
Q2 2014,92.57731,91.87449
Q3 2014,93.77703,93.31188
Q4 2014,95.15762,93.17878
Q1 2015,94.62427,92.89547
Q2 2015,95.37241,93.38758
Q3 2015,96.3765,95.0575
Q4 2015,96.46711,94.15117
Q1 2016,95.58969,94.14035
Q2 2016,95.79184,95.04069
Q3 2016,96.65826,96.25609
